"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Einzel-BL li-re Blei, Text auf Doppel-BL (einzeln gezogen) 13-14,5 mm","1.0000","Fleischseite fast rein weiß, Haarseite gelb","1-35","zu Beginn der Responsorien jeweils große rote Kadelle in dafür ausgespartem Platz (teilweise über die gesamte Höhe des Systems, teilweise nur partiell).","1001","relativ stark, Fleischseite glatt, Haarseite sehr rauh, mit deutl. Haarspuren","schwarze Quadratnotation, nicht kaudiert, Striche nur an größeren syntaktischen Einschnitten","1","Tinte z.T. stark oxidiert/verblaßt/abgeblättert, aber keine Schäden","einzeln gezogene Linien, Gesamhöhe 39-45 mm","durchrastriert, Tetragramme über vorher gezogenem Textblindlinienschema gezogen, alles relativ unregelmäßig. Neues Stück beginnt immer mit neuem System, auch Versikel, ggf. System weitgehend leergelassen. Responsorien mit ""Resp.i.""/""Resp.ii.""/Resp.iii."" oder bei Platzmangel mit ""R.i.""/""R.ii.""/""R.iii."" links in m. markiert.","Leopardo Antonozzi (s. Kolophon auf fol. 46r)","Rotunda","267-290x413-422 mm","1","karmesinrot","schwarz, z.T. verblaßt","karmesinrot","schwarz, z.T. verblaßt, Rubriken karmesinrot","","5 Tetragramme"
"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Einzel-BL li-re Blei, Text auf Doppel-BL (einzeln gezogen) 13-14,5 mm","1.0000","Fleischseite fast rein weiß, Haarseite gelb","36-46","zu Beginn der Responsorien jeweils große, üppig verzierte rote Kadelle in dafür ausgespartem Platz (teilweise über die gesamte Höhe des Systems, teilweise nur partiell).","1002","relativ stark, Fleischseite glatt, Haarseite sehr rauh, mit deutl. Haarspuren","schwarze Quadratnotation, nicht kaudiert, Striche nur an größeren syntaktischen Einschnitten","2","Tinte z.T. stark oxidiert/verblaßt/abgeblättert, aber keine Schäden","einzeln gezogene Linien, Gesamhöhe 39-45 mm","durchrastriert, Tetragramme über vorher gezogenem Textblindlinienschema gezogen, alles relativ unregelmäßig. Neues Stück beginnt immer mit neuem System, auch Versikel, ggf. System weitgehend leergelassen. Responsorien mit ""Resp.i.""/""Resp.ii.""/Resp.iii."" oder bei Platzmangel mit ""R.i.""/""R.ii.""/""R.iii."" links in m. markiert.","Leopardo Antonozzi (s. Kolophon auf fol. 46r)","Rotunda","279-300x418-431 mm","1","karmesinrot","schwarz, z.T. verblaßt","karmesinrot","schwarz, z.T. verblaßt, Rubriken karmesinrot","","5 Tetragramme"
"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Einzel-BL li-re sehr helle Tinte, horizontal durchgehend 30 BL, von unten jeweils 2 für Text und 4 für Noten, 12-12,5 mm","2.0000","Fleischseite fast rein weiß, Haarseite gelblich","3-144","","2001","sehr dünn, glatt; z.T. durch Leimschicht (?) oder selten durch Seidenpapier verstärkt","schwarze Quadratnotation, kaudiert, Striche an syntaktischen Einschnitten","1","Tinte oxidiert, z.T. durchgeschlagen, vereinzelt beschädigt (Notenköpfe/Buchstaben herausgefallen)","Einzelrastral 36,5 mm","durchrastriert, Tetragramme über vorher gezogenem Blindlinienraster (z.T. leicht abweichend), sehr regelmäßig, bei längeren Textteilen ggf. nur 1-4 rastrierte Systeme. Jeder Gesang beginnt mit einer Zierinitiale auf einer neuen Zeile (Notenlinien für Initiale ausgespart).","Galeazzo Ercolano 1535 (Vermerk fol. 208r)","Rotunda","271-279x360-370 mm (fol. 143, 144: 262-265 mm)","1","","schwarz, streckenweise leicht verblaßt oder abgeblättert","karmesinrot","schwarz, streckenweise leicht verblaßt oder abgeblättert; Rubriken karmesinrot","","5 Tetragramme bzw.15 Textzeilen"
"Ersatz-Bifolium","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Einzel-BL li-re sehr helle Tinte, horizontal durchgehend 30 BL, von unten jeweils 2 für Text und 4 für Noten, 12-12,5 mm","2.0000","Fleischseite fast rein weiß, Haarseite gelblich","129-130","","2002","dünn, glatt; an der Seite mit Pergamentstreifen auf Größe des Hk gebracht","schwarze Quadratnotation, kaudiert","Ersatz","kaum oxidiert, Zustand einwandfrei","Einzelrastral 36,5 mm","durchrastriert, Tetragramme über vorher gezogenem Blindlinienraster (z.T. leicht abweichend), sehr regelmäßig, bei längeren Textteilen ggf. nur 0-4 rastrierte Systeme. Jeder Gesang beginnt mit einer Zierinitiale auf einer neuen Zeile (Notenlinien für Initiale ausgespart).","Galeazzo Ercolano 1535 (Vermerk fol. 208r) ??Nachtrag in fast allen Details mit dem Hk identisch, sicher von Ercolano; wohl schon bald nach ursprünglicher Ingrossierung nachgetragen.","Rotunda","265x361-364 mm","1","","schwarz, streckenweise leicht verblaßt","karmesinrot","schwarz, streckenweise leicht verblaßt; Rubriken karmesinrot","","5 Tetragramme bzw.15 Textzeilen"
"Isoliert","Pergament, echte Bifolia","Einzel-BL li-re Blei, horizontal durchgehend 30 BL, 12-12,5 mm","2.0000","Fleischseite hellgelblich, Haarseite dunkler","145-152","","2003","relativ dick, Haarseite sehr rauh","","Einschub","unterschiedlich stark oxidiert, z.T. leicht durchgeschlagen, aber keine Schäden","","Text, jeder Psalmvers beginnt auf neuer Zeile","","Ercolano-Imitat, CS 2 Erg.","280-282x362-367 mm","1","","","","dunkelbraun, streckenweise verblaßt; Rubriken karmesinrot","","15 Textzeilen"
"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Einzel-BL li-re sehr helle Tinte, horizontal durchgehend 30 BL, von unten jeweils 2 für Text und 4 für Noten, 12-12,5 mm","2.0000","Fleischseite fast rein weiß, Haarseite gelblich","153-208","","2004","sehr dünn, glatt; z.T. durch Leimschicht (?) oder selten durch Seidenpapier verstärkt","schwarze Quadratnotation, kaudiert, Striche an syntaktischen Einschnitten","2","Tinte oxidiert, z.T. durchgeschlagen, vereinzelt beschädigt (Notenköpfe/Buchstaben herausgefallen)","Einzelrastral 36,5 mm","durchrastriert, Tetragramme über vorher gezogenem Blindlinienraster (z.T. leicht abweichend), sehr regelmäßig, bei längeren Textteilen ggf. nur 1-4 rastrierte Systeme. Jeder Gesang beginnt mit einer Zierinitiale auf einer neuen Zeile (Notenlinien für Initiale ausgespart).","Galeazzo Ercolano 1535 (Vermerk fol. 208r)","Rotunda","260-268x360-370 mm","1","","schwarz, streckenweise leicht verblaßt oder abgeblättert","karmesinrot","schwarz, streckenweise leicht verblaßt oder abgeblättert; Rubriken karmesinrot","","5 Tetragramme"
"Faszikel","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Doppel-BL li-re sehr helle Tinte 9,5 mm, Text auf Doppel-BL 12 mm; längere Textpassagen Doppel-BL 6 mm","3.0000","Fleischseite gelblich-weiß, Haarseite dunkelgelblich, z.T. unregelmäßig verfärbt","1-59, 70-143","Sehr zahlreiche vergrößerte Majuskeln nach Initialen, leicht kadellanartig verziert, mit ornamentalen Tntenzeichnungen ausgefüllt/umrahmt, sehr oft figurativ, humoristisch, mit Grotesken.","3001","mittelstark, glatt; Haarseite etwas rauh","schwarze Quadratnotation, kaudiert, wenige Taktstriche, Custos kurz gehalst","Hk","Tinte z.T. leicht oxidiert/abgeblättert, so gut wie keine Schäden","Einzelrastral 35 mm","durchrastriert zwischen äußeren Blindlinien, sehr regelmäßig, bei längeren Textteilen (sehr selten) ggf. nur 2-5 rastrierte Systeme. Jeder Gesang beginnt mit einer Zierinitiale auf einer neuen Zeile (Notenlinien für Initiale ausgespart).","Galeazzo Ercolano 1539 (s. Kolophon fol. 142v)","Rotunda","286x436 mm","1","","schwarz, stark deckend, selten verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, stark deckend, selten verblaßt/abgeblättert; Rubriken karmesinrot","","6 Tetragramme, bis zu 29 Textzeilen"
"Isoliert","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Einzel-BL li-re eingeritzt, Text auf Doppel-BL 9,5 mm","3.0000","Fleischseite fast rein weiß, Haarseite dunkelgelblich, z.T. unregelmäßig verfärbt","60-69","Mittelgroße, mäßig verzierte rote Kadellen am Begnn von Gesänge, kleine, leicht verzierte Kadellen am Beginn von Versen.","3002","mittelstark, glatt; Haarseite rauh","schwarze Quadratnotation, nicht kaudiert, wenige Taktstriche, Custos kurz gehalst","Einschub","Tinte z.T. leicht oxidiert/abgeblättert, so gut wie keine Schäden","Systemhöhe 34 mm (leicht unregelmäßig ??)","durchrastriert. Jeder Gesang beginnt mit einer Kadelle auf einer neuen Zeile (Notenlinien für Initiale ausgespart).","Leopardo Antonozzi 1654 (s. Kolophon auf fol. 66v)","Rotunda","300x485 mm","1","karmesinrot, stark deckend","schwarz, stark deckend, selten verblaßt/abgeblättert","karmesinrot, stark deckend, z.T. verblaßt","schwarz, stark deckend, selten verblaßt/abgeblättert; Rubriken karmesinrot","","7 Tetragramme"
"Ersatz-Einzelblatt","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Doppel-BL li-re sehr helle Tinte 11 mm, Text auf Doppel-BL 12,5 mm","3.0000","Fleischseite gelblich-weiß, Haarseite dunkelgelblich, z.T. unregelmäßig verfärbt","76r","","3003","mittelstark, glatt; Haarseite etwas rauh","schwarze Quadratnotation, kaudiert, wenige Taktstriche, Custos kurz gehalst","Nachtrag","Tinte z.T. leicht oxidiert/abgeblättert, so gut wie keine Schäden","Systemhöhe 37 mm (leicht unregelmäßig ??)","durchrastriert zwischen inneren Blindlinien, sehr regelmäßig. Zierinitiale über Aussparung (Zierinitiale der ursprünglichen Seite ausgeschnitten und aufgeklebt).","??","Rotunda, dem Schriftbild Ercolanos nachempfunden","284x437 mm (Rastrierung 262 mm)","1","","schwarz, stark deckend, selten verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, stark deckend, selten verblaßt/abgeblättert; Rubriken karmesinrot","","6 Tetragramme"
"Ersatz-Einzelblatt","Pergament, Bifolia aus zwei überlappenden Einzelblättern zusammengeklebt","Doppel-BL li-re sehr helle Tinte 11 mm, Text auf Doppel-BL 10,5 mm","3.0000","Fleischseite gelblich-weiß, Haarseite dunkelgelblich, z.T. unregelmäßig verfärbt","76v","Einfache, große rote Majuskel am Anfang des Gesangs.","3004","mittelstark, glatt; Haarseite etwas rauh","schwarze Quadratnotation, nicht kaudiert, wenige Taktstriche, Custos kurz gehalst","Nachtrag","Tinte oxidiert/abgeblättert, so gut wie keine Schäden","Systemhöhe 38,5 mm","durchrastriert zwischen inneren Blindlinien, sehr regelmäßig. Initiale über Aussparung.","??","Antiqua, schlicht, gleichmäßig","284x490 mm (Rastrierung 262 mm)","1","karmesinrot, stark deckend","schwarz, stark deckend, stark verblaßt/abgeblättert","karmesinrot, stark deckend","schwarz, stark deckend, stark verblaßt/abgeblättert","","6 Tetragramme"
