"","1.0000","vgl. LU, p. 631-638","","Coena Domini ad matutinum in primo nocturno","Feria quinta in coena Domini ad Matutinum In p. Noct.","2r-5v","Offizium","1","1/1","1001",""
"","1.0000","vgl. LU, p. 643-646","","Coena Domini ad matutinum in secundo nocturno","In ii. N.","6r-9r","Offizium","1","1/2","1002",""
"","1.0000","vgl. LU, p. 649-651","","Coena Domini ad matutinum in tertio nocturno","In 3o Noc.","9r-13r","Offizium","1","1/3","1003",""
"","1.0000","vgl. LU, p. 659","","Coena Domini ad laudes","V post an.am Bened.","13r-13v","Offizium","1","1/4","1004",""
"","1.0000","vgl. LU, p. 692-698","","Feria sexta in Parasceve ad matutinum in primo nocturno","Feria vi. in Parasceve ad Matutinum In primo Nocturno","13v-17r","Offizium","1","2/1","1005",""
"","1.0000","vgl. LU, p. 702-705","","Feria sexta in Parasceve ad matutinum in secundo nocturno","In ii. Noct.","17r-21r","Offizium","1","2/2","1006",""
"","1.0000","vgl. LU, p. 710-712","","Feria sexta in Parasceve ad matutinum in tertio nocturno","In iii. N.","21r-24r","Offizium","1","2/3","1007",""
"","1.0000","vgl. LU, p. 719","","Feria sexta in Parasceve ad laudes","V post an.am Bened.","24r-24v","Offizium","1","2/4","1008",""
"","1.0000","vgl. LU, p. 754-762","","Sabbato Sancto ad matutinum in primo nocturno","Sabbato Sancto ad Matutinam in p.o Nocturno","24v-27v","Offizium","1","3/1","1009",""
"","1.0000","vgl. LU, p. 765-768","","Sabbato Sancto ad matutinum in secundo nocturno","In ii. Noct.","27v-31r","Offizium","1","3/2","1010",""
"","1.0000","vgl. LU, p. 771-773","","Sabbato Sancto ad matutinum in tertio nocturno","In iii. Noct.","31r-33v","Offizium","1","3/3","1011",""
"","1.0000","vgl. LU, p. 776c","","Sabbato Sancto ad laudes","V post an.am Bened.","33v-34r","Offizium","1","3/4","1012",""
"","1.0000","vgl. GR, p. 177-181","","Feria sexta in Parasceve","Feria vi. in Parasceve","36r-41v","Proprium","2","4","1013",""
"","1.0000","vgl. GR, p. 192-194","","Sabbato Sancto","Sabbato Sancto","41v-46r","Proprium","2","5","1014",""
"","2.0000","","","","","","","","","2000",""
"","2.0000","vgl. OMH, p. 278-290; LU, p 626-638","","Coena Domini ad matutinum in primo nocturno","Feria V in Cena Domini Officium ad longum ad Matutinum in Primo Nocturno","3r-23r","Offizium","1","1","2001",""
"","2.0000","vgl. OMH, p. 290-297; LU, p. 639-646","","Coena Domini ad matutinum in secundo nocturno","In Secundo Nocturno","23r-40v","Offizium","1","2","2002",""
"","2.0000","vgl. OMH, p. 298-304; LU, p. 646-651","","Coena Domini ad matutinum in tertio nocturno","In Tertio Nocturno","40v-54v","Offizium","1","3","2003",""
"","2.0000","vgl. OMH, p. 304-315; LU, p. 651-659","","Coena Domini ad laudes","Ad Laudes","55r-73r","Offizium","1","4","2004",""
"","2.0000","vgl. OMH, p. 362-373; LU, p. 688-698","","Feria sexta in Parasceve ad matutinum in primo nocturno","Feria VI in Parasceve Domini Officium ad longum ad Matutinum in I Nocturno","74r-91v","Offizium","1","5","2005",""
"","2.0000","vgl. OMH, p. 373-380; LU, p. 698-705","","Feria sexta in Parasceve ad matutinum in secundo nocturno","In Secundo Nocturno","91v-109v","Offizium","1","6","2006",""
"","2.0000","vgl. OMH, p. 380-387; LU, p. 706-712","","Feria sexta in Parasceve ad matutinum in tertio nocturno","In tertio Nocturno","110r-125v","Offizium","1","7","2007",""
"","2.0000","vgl. OMH, p. 387-392; LU, p. 712-719","","Feria sexta in Parasceve ad laudes","Ad laudes","125v-144r","Offizium","1","8","2008",""
"","2.0000","vgl. OMH, S. 335-338","","Feria sexta in Parasceve ad vesperas","Feria Sexta ad Vesperas sine Cantu","145r-151r","Offizium (nur Text)","Ein","9","2009",""
"","2.0000","vgl. OMH, p. 435-445; LU, p. 752-762","","Sabbato Sancto ad matutinum in primo nocturno","Sabb. Sancto off. ad longum ad matutinum in primo nocturno","153r-164r","Offizium","2","10","2010",""
"","2.0000","vgl. OMH, p. 445-451; LU, p. 762-768","","Sabbato Sancto ad matutinum in secundo nocturno","In Secundo Nocturno","164r-178r","Offizium","2","11","2011",""
"","2.0000","vgl. OMH, p. 451-456; LU, p. 768-773","","Sabbato Sancto ad matutinum in tertio nocturno","In tertio nocturno","178r-189v","Offizium","2","12","2012",""
"","2.0000","vgl. OMH, p. 457-451; LU, p. 773-776c","","Sabbato Sancto ad laudes","Ad laudes","189v-206v","Offizium","2","13","2013",""
"","2.0000","vgl. OMH, p. 504-507; LU, p. 776kk","","Sabbato Sancto ad vesperas","Ad vesperas. Facta communione a Sacerdote in missa","206v-208r","Offizium","2","14","2014",""
"","3.0000","","","","","","","","","3000",""
"","3.0000","vgl. GR, p. 130-133","","Dominica Passionis","Dominica de passione statio ad sanctum petrum","2r-7r","Proprium","Hk","1","3001",""
